bank_id,product_id,category_id,preprocessed,description
1,1,1,5 000 000 рубли,тинькофф|кредит наличными|сумма|До 5 000 000 рублей|https://acdn.tinkoff.ru/static/documents/loans-cashloan-tariff.pdf
1,1,1,1 год 5 годы,тинькофф|кредит наличными|срок|От 1 года до 5 лет|https://acdn.tinkoff.ru/static/documents/loans-cashloan-tariff.pdf
1,1,1,"подавшие заявка кредит получившие могущие граждане , удовлетворяющие следующее требования : - граждане рф постоянная временной регистрация территория рф - возраст 18–70 годы  - наличие документ , удостоверяющее личность постоянная регистрация территория рф  возраст заёмщик момент окончание срок заём должный превышающие 70 годы . условие обошедшие , сделка участвующий созаёмщик , который момент окончание срок кредит маленькие 70 годы . Важно помнящие , дополнительный заёмщик несущий солидарная ответственность кредит залог недвижимость полный объём .","тинькофф|кредит наличными|требования к заемщику|Подать заявку на кредит и получить его могут граждане, удовлетворяющие следующим требованиям:
- Граждане РФ с постоянной либо временной регистрацией на территории РФ
- Возраст 18–70 лет*
- Наличие документа, удостоверяющего личность и постоянной регистрации на территории РФ

*Возраст заемщика на момент окончания срока займа не должен превышать 70 лет. Условие можно обойти, если в сделке участвует созаемщик, которому на момент окончания срока кредита будет меньше 70 лет. Важно помнить, что дополнительный заемщик несет солидарную ответственность по кредиту под залог недвижимости в полном объеме.|-"
1,1,1,"активация дающийся 60 дни — уложившиеся срок , банк отменивший своё решение . смогшие подавшие новая заявка , условия , которые банк готовый выдавшие заевший , могущие изменившиеся . банк передумавшие выдающие кредит , момент одобрение заявки активация финансовое состояние заёмщик изменившееся . Например , клиент получивший заевший друг банк просрочивший платёж действующий . ставший известно бюро кредитные истории , банки сообщающие выданные займы просрочки .","тинькофф|кредит наличными|активация|На активацию дается 60 дней — если не уложиться в этот срок, банк отменит свое решение. После этого вы сможете подать новую заявку, но условия, на которых банк будет готов выдать заем, могут измениться.

Банк может передумать выдавать кредит, если с момента одобрения заявки и до активации финансовое состояние заемщика изменилось. Например, если клиент получил заем в другом банке или просрочил платеж по действующему. 

Об этом станет известно из бюро кредитных историй, куда банки сообщают обо всех выданных займах и просрочках.|https://www.tinkoff.ru/bank/help/loans/nopledge/get-cash-loan/main-points/?card=q12#:~:text=%D0%9D%D0%B0%C2%A0%D0%B0%D0%BA%D1%82%D0%B8%D0%B2%D0%B0%D1%86%D0%B8%D1%8E%20%D0%B4%D0%B0%D0%B5%D1%82%D1%81%D1%8F,%D0%B7%D0%B0%D0%B9%D0%BC%D0%B0%D1%85%20%D0%B8%C2%A0%D0%BF%D1%80%D0%BE%D1%81%D1%80%D0%BE%D1%87%D0%BA%D0%B0%D1%85."
1,1,1,"ставка кредит наличные тинькофф составляющий 12,9 % — 40,0 % годовые . точный размер применяемая ставки определяющийся результаты оценка платёжеспособность клиент указывающийся тарифный план , который являющийся неотъемлемая часть договор .","тинькофф|кредит наличными|ставка|Ставка по кредиту наличными в Тинькофф составляет 12,9% — 40,0% годовых.

Точный размер применяемой ставки определяется по результатам оценки платежеспособности клиента и указывается в тарифном плане, который является неотъемлемой частью договора.|https://www.tinkoff.ru/bank/help/loans/nopledge/get-cash-loan/main-points/?card=q12#:~:text=%D0%B7%D0%B0%D0%B9%D0%BC%D0%B0%D1%85%20%D0%B8%C2%A0%D0%BF%D1%80%D0%BE%D1%81%D1%80%D0%BE%D1%87%D0%BA%D0%B0%D1%85.-,%D0%92%C2%A0%D0%B4%D0%BE%D0%BA%D1%83%D0%BC%D0%B5%D0%BD%D1%82%D0%B0%D1%85%20%D1%83%D0%BA%D0%B0%D0%B7%D0%B0%D0%BD%D0%BE%20%D0%B4%D0%B2%D0%B5%20%D0%BF%D1%80%D0%BE%D1%86%D0%B5%D0%BD%D1%82%D0%BD%D1%8B%D0%B5%20%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B8%2C%20%D1%87%D1%82%D0%BE%20%D1%8D%D1%82%D0%BE%20%D1%82%D0%B0%D0%BA%D0%BE%D0%B5%3F,-%D0%AD%D1%82%D0%BE%20%D0%BE%D1%81%D0%BD%D0%BE%D0%B2%D0%BD%D0%B0%D1%8F%20%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0"
1,1,1,"процентная ставка кредит — это значение , которое отражающий стоимость кредит . оно маленькие , дешёвые заёмные деньги .","тинькофф|кредит наличными|что такое процентная ставка|Процентная ставка по кредиту — это значение, которое отражает стоимость кредита. Чем оно меньше, тем дешевле заемные деньги.|https://www.tinkoff.ru/bank/help/loans/nopledge/info/percentage/"
1,1,1,"активировавшие кредит , нашедшие процентная ставка : - ваш кредитный договор - мобильный приложение тинькофф : выбравшие « кредит наличные » список счета → блок « детали кредит » само низ → « процентная ставка » - личный кабинет сайт tinkoff.ru - выбравшие « кредит наличные » панели счета перешедшие раздел « счёт » .","тинькофф|кредит наличными|как узнать ставку|Если вы уже активировали кредит, то можно найти процентную ставку:
- В вашем кредитном договоре
- В мобильном приложении Тинькофф: выберите «Кредит наличными» в списке счетов → блок «Детали кредита» в самом низу → «Процентная ставка»
- В личном кабинете на сайте tinkoff.ru - выберите «Кредит наличными» на панели счетов и перейдите в раздел «О счете».|-"
1,1,1,"каждый факторы ниже являющийся решающий , вносящий свой вклад общее решение . 1 . ключевая ставка центробанк россия : выше , выше минимальная ставка потребительский кредит , который получившие банк . Например , август 2023 год центробанк поднявший ключевая ставка 7,5 12 % . результат минимальная ставка потребительский кредит тинькофф выросшая 3,9 8,9 % . 2 . параметры конкретный кредит : сумма срок кредит , ставка . ставка маленькие , оформившие кредит залог 3 . финансовое положение заёмщик : тинькофф анализ надёжность заёмщик использующийся специальная автоматическая система — скоринг . скоринг - это программа , которая проверяющий десятка параметры , число значение имеющие : место работа должность , ежемесячный доход действующие кредиты , кредитная история многие другие параметры .","тинькофф|кредит наличными|от чего зависит ставка|Каждый из факторов ниже не является решающим, но вносит свой вклад в общее решение.

1. Ключевая ставка Центробанка России: 
Чем она выше, тем выше минимальная ставка потребительского кредита, который можно получить в банке. Например, в августе 2023 года Центробанк поднял ключевую ставку с 7,5 до 12%. В результате минимальная ставка на потребительский кредит в Тинькофф выросла с 3,9 до 8,9%.

2. Параметры конкретного кредита: 
Чем больше сумма и срок кредита, тем ниже может быть ставка. Также ставка может быть меньше, если оформить кредит с залогом

3. Финансовое положение заемщика: 
В Тинькофф для анализа надежности заемщика используется специальная автоматическая система — скоринг. Скоринг - это программа, которая проверяет десятки параметров, в том числе значение имеют: место работы и должность, ежемесячный доход и действующие кредиты, кредитная история и многие другие параметры.|https://www.tinkoff.ru/bank/help/loans/nopledge/info/percentage/#:~:text=%D0%9C%D0%BE%D0%B6%D0%B5%D1%82%C2%A0%D0%BB%D0%B8%20%D0%BF%D1%80%D0%BE%D1%86%D0%B5%D0%BD%D1%82%D0%BD%D0%B0%D1%8F%20%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0%20%D0%B8%D0%B7%D0%BC%D0%B5%D0%BD%D0%B8%D1%82%D1%8C%D1%81%D1%8F%20%D1%83%D0%B6%D0%B5%20%D0%BF%D0%BE%D1%81%D0%BB%D0%B5%20%D0%BF%D0%BE%D0%BB%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B0%3F"
1,1,1,"односторонний порядок банк повысившие ставка выданный кредит — это запрещённое ст . 29 фз « банки банковская деятельность » . выплатившие кредит — просрочки течение менее половина срок — банк пересчитавшие проценты вернувшие разница , которая достигающие 10 % . подробные — `` кредит наличные пересчёт проценты '' оформляющие кредит наличные , наш сотрудник сказавший , доступный пересчёт проценты , позвонивший согласование условия кредит .","тинькофф|кредит наличными|изменение ставки |В одностороннем порядке банк не может повысить ставку по уже выданному кредиту — это запрещено ст. 29 ФЗ «О банках и банковской деятельности».

Если вы полностью выплатите кредит — без просрочек и в течение не менее половины срока — банк может пересчитать проценты и вернуть вам разницу, которая может достигать 10%. Подробнее — ""Кредит наличными с пересчетом процентов""

Если вы только оформляете кредит наличными, наш сотрудник скажет, доступен ли вам пересчет процентов, когда позвонит для согласования условий кредита.|https://www.tinkoff.ru/bank/help/loans/nopledge/info/percentage/#:~:text=%D0%9C%D0%BE%D0%B6%D0%B5%D1%82%C2%A0%D0%BB%D0%B8%20%D0%BF%D1%80%D0%BE%D1%86%D0%B5%D0%BD%D1%82%D0%BD%D0%B0%D1%8F%20%D1%81%D1%82%D0%B0%D0%B2%D0%BA%D0%B0%20%D0%B8%D0%B7%D0%BC%D0%B5%D0%BD%D0%B8%D1%82%D1%8C%D1%81%D1%8F%20%D1%83%D0%B6%D0%B5%20%D0%BF%D0%BE%D1%81%D0%BB%D0%B5%20%D0%BF%D0%BE%D0%BB%D1%83%D1%87%D0%B5%D0%BD%D0%B8%D1%8F%20%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D0%B0%3F"
1,1,1,"банк начавший начисляющие проценты кредит наличные момент , активированный — согласившиеся перечисление денежные средства дебетовая карта , которая привёзший представитель тинькофф . день проценты занявший начисляющиеся . проценты — это плата банк предоставленный кредит . сумма начисляемые проценты зависящий : процентная ставки кредит сумма основный долг .   процентная ставка кредит   — это значение , которое отражающий стоимость кредит . оно маленькие , дешёвые заёмные деньги .   сумма основный долг   — это часть кредит , которая оставшееся вернувшие банк .   расчётный период   — это отрезок время два соседние регулярные платежи   расчёт проценты день :   < остаток долг >  < ставка кредит > / 100 / 365 .   расчёт проценты месяц :   < остаток долг >  < ставка кредит > / 100 / 365  < рассчётный период > .   дата начало начисление проценты :   проценты начисляющиеся дата , кредитные деньги поступившие счёт клиент появившаяся возможность они пользующиеся . момент проценты начисляющиеся .   :   - проценты начисляющиеся 1 сутки — тинькофф это происходящий 21:00 03:00 московское время . - количество дни расчётный период влияющий сумма проценты : маленькие количество дни , маленькие сумма проценты - каждый регулярный платёж сумма начисляемые проценты снижающийся — снижающийся остаток основный долг , которое рассчитывающиеся проценты .   оплата кредит :   банк вычитающий сумма платёж сумма набежавшие проценты , стоимость дополнительные услуги , подключённые . сумма , которая оставшаяся вычеты , идущий погашение основный долг . процедура начисление проценты возобновляющийся , расчёт идущий основный долг , который оставшийся погашение .","тинькофф|кредит наличными|информация о процентах по кредиту |Банк начнет начислять проценты по кредиту наличными в момент, когда он будет активирован — то есть согласитесь на перечисление денежных средств на дебетовую карту, которую привезет представитель Тинькофф. До этого дня проценты по займу не начисляются.

Проценты — это плата банку за предоставленный кредит. Сумма начисляемых процентов зависит от: процентной ставки по кредиту и от суммы основного долга.  

**Процентная ставка по кредиту** — это значение, которое отражает стоимость кредита. Чем оно меньше, тем дешевле заемные деньги.  
**Сумма основного долга** — это часть кредита, которую осталось вернуть банку. 
**Расчетный период** — это отрезок времени между двумя соседними регулярными платежами

**Расчет процентов за день:** <Остаток долга> * <Ставка кредита>  / 100 / 365. 
**Расчет процентов за месяц:** <Остаток долга> * <Ставка кредита>  / 100 / 365 * <рассчетный период>. 

**Дата начала начисления процентов:** Проценты начисляются с даты, когда кредитные деньги поступили на счет клиента и у него появилась возможность ими пользоваться. До этого момента проценты не начисляются.

**Дополнительно:** 
- Проценты начисляются 1 раз в сутки — в Тинькофф это происходит автоматически между 21:00 и 03:00 по московскому времени. 
- Количество дней в расчетном периоде влияет на сумму процентов: чем меньше количество дней, тем меньше сумма процентов 
- С каждым регулярным платежом сумма начисляемых процентов снижается — потому что снижается остаток основного долга, от которого и рассчитываются проценты. 

**При оплате кредита:** банк вычитает из суммы платежа сумму набежавших процентов, а также стоимость дополнительных услуг, если они были подключены. Сумма, которая осталась после вычетов, идет на погашение основного долга. Затем процедура начисления процентов возобновляется, но расчет идет уже от основного долга, который остался после погашения.  |https://www.tinkoff.ru/bank/help/loans/nopledge/info/percentage/
https://www.tinkoff.ru/bank/help/loans/nopledge/get-cash-loan/main-points/?card=q12#:~:text=%D0%B4%D0%BE%C2%A030%C2%A0%D0%BB%D0%B5%D1%82.-,%D0%9A%D0%B0%D0%BA%20%D1%80%D0%B0%D1%81%D1%81%D1%87%D0%B8%D1%82%D0%B0%D1%82%D1%8C%20%D0%BF%D1%80%D0%BE%D1%86%D0%B5%D0%BD%D1%82%D1%8B%20%D0%BF%D0%BE%C2%A0%D0%BA%D1%80%D0%B5%D0%B4%D0%B8%D1%82%D1%83%3F,-%D0%92%C2%A0%D0%A2%D0%B8%D0%BD%D1%8C%D0%BA%D0%BE%D1%84%D1%84%20%D0%B4%D0%BB%D1%8F"
